DisplayName,NewApp
Adobe Flash Player 28 NPAPI,Adobe Flash Player 29 NPAPI
Adobe Flash Player 28 PPAPI,Adobe Flash Player 29 PPAPI
Adobe Flash Player 29 ActiveX,Adobe Flash Player 29 ActiveX
Adobe Flash Player 29 NPAPI,Adobe Flash Player 29 NPAPI
Adobe Flash Player 29 PPAPI,Adobe Flash Player 29 PPAPI
Adobe Flash Player 30 ActiveX,Adobe Flash Player 29 ActiveX
Adobe Flash Player 30 NPAPI,Adobe Flash Player 29 NPAPI
Adobe Flash Player 30 PPAPI,Adobe Flash Player 29 PPAPI
Adobe Flash Player 31 ActiveX,Adobe Flash Player 29 ActiveX
Adobe Flash Player 31 NPAPI,Adobe Flash Player 29 NPAPI
Adobe Flash Player 31 PPAPI,Adobe Flash Player 29 PPAPI
Adobe Flash Player 32 ActiveX,Adobe Flash Player 29 ActiveX
Adobe Flash Player 32 NPAPI,Adobe Flash Player 29 NPAPI
Adobe Flash Player 32 PPAPI,Adobe Flash Player 29 PPAPI
Adobe Flash Player 9 ActiveX,Adobe Flash Player 29 ActiveX
Adobe Flash Player Plugin,Adobe Flash Player 29 PPAPI
Adobe Flash Pro CS5,Adobe Flash Pro
Adobe Flash Pro CS6 x64,Adobe Flash Pro
Adobe Flash Professional CS5,Adobe Flash Pro
Adobe Flash Professional CS5.5,Adobe Flash Pro
Adobe Flash Professional CS6,Adobe Flash Pro
Adobe Illustrator CS4,Adobe Illustrator
Adobe Illustrator CS5,Adobe Illustrator
Adobe Illustrator CS5 x64,Adobe Illustrator
Adobe Illustrator CS6,Adobe Illustrator
Adobe Illustrator CS6 x64,Adobe Illustrator
Adobe InDesign CS4,Adobe InDesign
Adobe InDesign CS4 Application Feature Set Files (Roman),Adobe InDesign
Adobe InDesign CS4 Common Base Files,Adobe InDesign
Adobe InDesign CS4 Icon Handler,Adobe InDesign
Adobe InDesign CS4 Icon Handler x64,Adobe InDesign
Adobe InDesign CS5,Adobe InDesign
Adobe InDesign CS5.5,Adobe InDesign
Adobe InDesign CS6,Adobe InDesign
Adobe InDesign CS6 8.0.1 x64,Adobe InDesign
Adobe Photoshop CS3,Adobe Photoshop
Adobe Photoshop CS4,Adobe Photoshop
Adobe Photoshop CS4 (64 Bit),Adobe Photoshop
Adobe Photoshop CS4 Support,Adobe Photoshop
Adobe Photoshop CS5,Adobe Photoshop
Adobe Photoshop CS5 x32,Adobe Photoshop
Adobe Photoshop CS5 x64,Adobe Photoshop
Adobe Photoshop CS6,Adobe Photoshop
Adobe Premiere Pro CS4,Adobe Premiere Pro
Adobe Premiere Pro CS5.5,Adobe Premiere Pro
Adobe Premiere Pro CS6,Adobe Premiere Pro
Adobe Premiere Pro CS6 6.0.3 x64,Adobe Premiere Pro
Adobe Premiere Professional CS5.5 x64,Adobe Premiere Pro
Adobe Reader 9,Adobe Acrobat Reader DC
Adobe Reader 9.4.0,Adobe Acrobat Reader DC
Adobe Reader 9.4.5,Adobe Acrobat Reader DC
Adobe Reader X (10.1.0),Adobe Acrobat Reader DC
Adobe Reader X (10.1.1),Adobe Acrobat Reader DC
Adobe Reader X (10.1.10),Adobe Acrobat Reader DC
Adobe Reader X (10.1.16),Adobe Acrobat Reader DC
Adobe Reader X (10.1.16) MUI,Adobe Acrobat Reader DC
Adobe Reader X (10.1.3),Adobe Acrobat Reader DC
Adobe Reader X (10.1.4),Adobe Acrobat Reader DC
Adobe Reader X (10.1.6),Adobe Acrobat Reader DC
Adobe Reader X (10.1.7),Adobe Acrobat Reader DC
Adobe Reader X (10.1.8),Adobe Acrobat Reader DC
Adobe Reader X (10.1.9),Adobe Acrobat Reader DC
Adobe Reader XI,Adobe Acrobat Reader DC
Adobe Reader XI  MUI,Adobe Acrobat Reader DC
Adobe Reader XI (11.0.01),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.02),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.03),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.04),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.05),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.06),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.07),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.08),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.09),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.10),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.11),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.12),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.13),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.14),Adobe Acrobat Reader DC
Adobe Reader XI (11.0.14)  MUI,Adobe Acrobat Reader DC
Adobe Reader XI (11.0.15),Adobe Acrobat Reader DC
